Name,Party,State,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
Baldwin,D,WI,1,-1,1,1,1,1,1,-1,-1,1
Barrasso,R,WY,-1,1,1,0,-1,0,-1,1,1,0
Bennet,D,CO,1,-1,-1,1,1,1,1,-1,1,1
Blackburn,R,TN,1,1,-1,-1,-1,-1,1,1,-1,1
Blumenthal,D,CT,1,-1,1,1,1,1,1,-1,1,1
Booker,D,NJ,1,-1,1,1,1,1,1,-1,-1,1
Boozman,R,AR,1,1,1,1,1,1,1,1,1,1
Braun,R,IN,-1,1,-1,-1,-1,-1,1,1,-1,0
Britt,R,AL,1,1,1,-1,-1,0,0,1,1,0
Brown,D,OH,1,-1,1,1,1,1,1,1,-1,1
Budd,R,NC,-1,1,1,-1,-1,-1,-1,1,1,1
Butler,D,CA,1,-1,1,1,1,1,1,-1,-1,1
Cantwell,D,WA,1,-1,1,1,1,1,1,-1,-1,1
Capito,R,WV,1,1,1,1,1,1,-1,1,0,1
Cardin,D,MD,1,-1,1,1,1,1,1,-1,1,-1
Carper,D,DE,1,-1,1,1,1,1,-1,-1,1,1
Casey,D,PA,1,-1,1,1,1,1,1,-1,1,1
Cassidy,R,LA,1,1,1,1,1,0,-1,1,1,1
Collins,R,ME,1,1,1,1,1,1,-1,1,1,1
Coons,D,DE,1,-1,1,1,1,1,1,-1,1,1
Cornyn,R,TX,1,1,0,1,1,1,-1,1,1,1
Cortez Masto,D,NV,1,-1,1,1,1,1,1,-1,0,1
Cotton,R,AR,1,1,1,1,-1,1,1,1,1,1
Cramer,R,ND,1,1,1,-1,1,1,-1,1,-1,1
Crapo,R,ID,-1,1,-1,-1,1,-1,1,1,1,1
Cruz,R,TX,-1,1,1,-1,-1,-1,1,1,-1,1
Daines,R,MT,1,1,1,1,-1,0,1,1,-1,1
Duckworth,D,IL,1,-1,1,1,1,1,1,-1,1,1
Durbin,D,IL,1,-1,1,1,1,1,1,-1,-1,1
Ernst,R,IA,-1,-1,1,1,1,1,-1,1,1,1
Fetterman,D,PA,1,-1,1,1,1,1,1,-1,1,1
Fischer,R,NE,1,1,1,1,-1,1,-1,1,1,1
Gillibrand,D,NY,1,-1,1,1,1,1,1,-1,1,1
Graham,R,SC,1,1,1,0,-1,1,1,1,1,1
Grassley,R,IA,1,-1,1,0,1,1,-1,1,1,1
Hagerty,R,TN,1,1,1,1,-1,1,1,1,-1,0
Hassan,D,NH,1,-1,1,1,1,1,1,-1,1,1
Hawley,R,MO,-1,1,1,-1,-1,-1,1,1,-1,1
Heinrich,D,NM,1,-1,1,1,1,1,1,-1,1,1
Hickenlooper,D,CO,1,-1,1,1,1,1,1,-1,1,1
Hirono,D,HI,1,-1,1,1,1,1,1,-1,-1,1
Hoeven,R,ND,1,1,1,-1,1,1,-1,1,-1,1
Hyde-Smith,R,MS,1,1,1,1,-1,1,-1,1,1,1
Johnson,R,WI,-1,1,1,-1,-1,-1,-1,1,-1,1
Kaine,D,VA,1,-1,1,1,1,1,1,-1,1,-1
Kelly,D,AZ,1,-1,1,1,1,1,1,-1,1,1
