Year,Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate
2022,Jared Goff,4438,7.6,587,382,65.1,29,7,99.3
2022,Josh Allen,4283,7.6,567,359,63.3,35,14,96.6
2022,Geno Smith,4282,7.5,572,399,69.8,30,11,100.9
2022,Trevor Lawrence,4113,7,584,387,66.3,25,8,95.2
2022,Jalen Hurts,3701,8,460,306,66.5,22,6,101.6
2022,Aaron Rodgers,3695,6.8,542,350,64.6,26,12,91.1
2022,Tua Tagovailoa,3548,8.9,400,259,64.8,25,8,105.5
2022,Russell Wilson,3524,7.3,483,292,60.5,16,11,84.4
2022,Derek Carr,3522,7,502,305,60.8,24,14,86.3
2022,Daniel Jones,3205,6.8,472,317,67.2,15,5,92.5
2022,Davis Mills,3118,6.5,479,292,61,17,15,78.8
2022,Matt Ryan,3057,6.6,461,309,67,14,13,83.9
2022,Mac Jones,2997,6.8,442,288,65.2,14,11,84.8
2022,Andy Dalton,2871,7.6,378,252,66.7,18,9,95.2
2022,Dak Prescott,2860,7.3,394,261,66.2,23,15,91.1
2022,Jacoby Brissett,2608,7.1,369,236,64,12,6,88.9
2022,Ryan Tannehill,2536,7.8,325,212,65.2,13,6,94.6
2022,Jimmy Garoppolo,2437,7.9,308,207,67.2,16,4,103
2022,Kenny Pickett,2404,6.2,389,245,63,7,9,76.7
2022,Kyler Murray,2368,6.1,390,259,66.4,14,7,87.2
2022,Justin Fields,2242,7,318,192,60.4,17,11,85.2
2022,Lamar Jackson,2242,6.9,326,203,62.3,17,7,91.1
2022,Marcus Mariota,2219,7.4,300,184,61.3,15,9,88.2
2022,Baker Mayfield,2163,6.5,335,201,60,10,8,79
2022,Matthew Stafford,2087,6.9,303,206,68,10,8,87.4
2022,Taylor Heinicke,1859,7.2,259,161,62.2,12,6,89.6
2022,Carson Wentz,1755,6.4,276,172,62.3,11,9,80.2
2022,Zach Wilson,1688,7,242,132,54.6,6,7,72.8
2022,Brock Purdy,1374,8.1,170,114,67.1,13,4,107.3
2022,Mitchell Trubisky,1252,7,180,117,65,4,5,81.1
2022,Mike White,1192,6.8,175,103,58.9,3,4,75.7
2022,Sam Darnold,1143,8.2,140,82,58.6,7,3,92.6
2022,Deshaun Watson,1102,6.5,170,99,58.2,7,5,79.1
2022,Joe Flacco,1051,5.5,191,110,57.6,5,3,75.2
2022,Cooper Rush,1051,6.5,162,94,58,5,3,80
2022,Jameis Winston,858,7.5,115,73,63.5,4,5,79.6
2022,Bailey Zappe,781,8.5,92,65,70.6,5,3,100.9
2022,Colt McCoy,780,5.9,132,90,68.2,1,3,76.6
2022,PJ Walker,731,6.9,106,63,59.4,3,3,78
2022,Desmond Ridder,708,6.2,115,73,63.5,2,0,86.4
2022,Teddy Bridgewater,683,8.6,79,49,62,4,4,85.6
2022,Gardner Minshew,663,8.7,76,44,57.9,3,3,83.4
2022,Tyler Huntley,658,5.9,112,75,67,2,3,77.2
2022,Jarrett Stidham,656,7.9,83,53,63.9,4,3,89.2
2022,Sam Ehlinger,573,5.7,101,64,63.4,3,3,76
2022,Skylar Thompson,534,5.1,105,60,57.1,1,3,62.2
2022,Brett Rypien,483,5.5,88,53,60.2,2,4,63.8
2022,Kyle Allen,416,5.3,78,46,59,2,4,60.6
2022,Trace McSorley,412,5,83,45,54.2,0,5,42.8
2022,Joshua Dobbs,411,6,68,40,58.8,2,2,73.8
2022,David Blough,402,6.9,58,38,65.5,2,2,82.7
2022,John Wolford,390,6.3,62,38,61.3,1,3,64.6
2022,Anthony Brown,302,6.2,49,22,44.9,0,2,48.2
2022,Malik Willis,276,4.5,61,31,50.8,0,3,42.8
2022,Taysom Hill,240,12.6,19,13,68.4,2,0,146.3
2022,Nick Foles,224,5.3,42,25,59.5,0,4,34.3
2022,Nick Mullens,224,9,25,21,84,1,1,100.7
2022,Jordan Love,195,9.3,21,14,66.7,1,0,112.2
2022,Trey Lance,194,6.3,31,15,48.4,0,1,55
2022,Trevor Siemian,184,7.1,26,15,57.7,1,1,76.4
2022,Sam Howell,169,8.9,19,11,57.9,1,1,83
2022,Davis Webb,168,4.2,40,23,57.5,1,0,75.8
2022,Bryce Perkins,161,4.7,34,19,55.9,1,2,53.7
2022,Nathan Peterman,139,5.6,25,14,56,1,1,68.6
2022,Jeff Driskel,108,5.4,20,14,70,1,0,99.6
2022,Chris Streveler,90,6,15,10,66.7,0,0,82.6
2022,Jacob Eason,59,11.8,5,3,60,0,1,61.7
2022,Tyrod Taylor,58,7.2,8,6,75,1,1,94.8
2022,Chase Daniel,52,4.3,12,8,66.7,1,0,103.5
2022,Brian Hoyer,37,6.2,6,5,83.3,0,0,92.4
